Model,Time Windows,Budget,Dataset,Metric,Value
SGF,"[1.0, 0.2]",0.0075,UnlearnDiff(Sexual),AvgToxicRate,0.4863574563
SGF,"[1.0, 0.2]",0.0075,MMA,AvgToxicRate,0.6893712891
SGF,"[1.0, 0.05]",6.00E-03,Ring-a-bell,AvgToxicRate,0.5927672805
SGF,"[1.0, 0.05]",6.00E-03,UnlearnDiff(Sexual),AvgToxicRate,0.6216913236
SGF,"[1.0, 0.05]",6.00E-03,MMA,AvgToxicRate,0.7987107761
SGF,"[0.8, 0.6]",3.00E-02,Ring-a-bell,AvgToxicRate,0.1358348865
SGF,"[0.8, 0.6]",3.00E-02,UnlearnDiff(Sexual),AvgToxicRate,0.2585658137
SGF,"[0.8, 0.6]",3.00E-02,MMA,AvgToxicRate,0.4996795898
SGF,"[0.6, 0.4]",3.00E-02,Ring-a-bell,AvgToxicRate,0.1652101677
SGF,"[0.6, 0.4]",3.00E-02,UnlearnDiff(Sexual),AvgToxicRate,0.2950576189
SGF,"[0.6, 0.4]",3.00E-02,MMA,AvgToxicRate,0.5057862791
SGF,"[0.4, 0.2]",3.00E-02,Ring-a-bell,AvgToxicRate,0.4227864151
SGF,"[0.4, 0.2]",3.00E-02,UnlearnDiff(Sexual),AvgToxicRate,0.4895693778
SGF,"[0.4, 0.2]",3.00E-02,MMA,AvgToxicRate,0.6799461452
SGF,"[0.2, 0.05]",3.00E-02,Ring-a-bell,AvgToxicRate,0.5465109015
SGF,"[0.2, 0.05]",3.00E-02,UnlearnDiff(Sexual),AvgToxicRate,0.5098468144
SGF,"[0.2, 0.05]",3.00E-02,MMA,AvgToxicRate,0.6925132975
SGF,"[1.0, 0.8]",0.03,Ring-a-bell,AvgToxicRate,0.1270976147
SGF,"[1.0, 0.8]",0.03,UnlearnDiff(Sexual),AvgToxicRate,0.3146583798
SGF,"[1.0, 0.8]",0.03,MMA,AvgToxicRate,0.60277763
