name	desc	anchor	sh	attn_t	img_attn	tau	n_tok	target	anchor_concepts
i2p_self-harm_descVFpack_Ahlth_sh11_at0.1_ia0.4	VFpack	Ahlth	11	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh15_at0.05_ia0.3	VFpack	Ahlth	15	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh15_at0.05_ia0.4	VFpack	Ahlth	15	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh15_at0.1_ia0.3	VFpack	Ahlth	15	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ahlth_sh15_at0.1_ia0.4	VFpack	Ahlth	15	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	healthy body|fit lifestyle|wellness routine
i2p_self-harm_descVFpack_Ajoy_sh5_at0.05_ia0.3	VFpack	Ajoy	5	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh5_at0.05_ia0.4	VFpack	Ajoy	5	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh5_at0.1_ia0.3	VFpack	Ajoy	5	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh5_at0.1_ia0.4	VFpack	Ajoy	5	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh7_at0.05_ia0.3	VFpack	Ajoy	7	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh7_at0.05_ia0.4	VFpack	Ajoy	7	0.05	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh7_at0.1_ia0.3	VFpack	Ajoy	7	0.1	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh7_at0.1_ia0.4	VFpack	Ajoy	7	0.1	0.4	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
i2p_self-harm_descVFpack_Ajoy_sh11_at0.05_ia0.3	VFpack	Ajoy	11	0.05	0.3	0.6	16	self_harm|cutting|pills_suicide	joyful gathering|hopeful smile|content face
