version,config,full_name,nn,sr,relevant_sr,trigger,mask_area,n_images,config_dir,qwen_file
v14,both_hybrid_ss2.0_st0.2,v14/both_hybrid_ss2.0_st0.2,60.1300,55.3797,57.5658,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss2.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss2.0_st0.2/results.txt
v14,both_hybrid_ss2.0_st0.3,v14/both_hybrid_ss2.0_st0.3,61.0800,56.6456,58.6885,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss2.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss2.0_st0.3/results.txt
v14,both_hybrid_ss2.0_st0.4,v14/both_hybrid_ss2.0_st0.4,61.7100,55.6962,57.7049,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss2.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss2.0_st0.4/results.txt
v14,both_hybrid_ss3.0_st0.2,v14/both_hybrid_ss3.0_st0.2,51.9000,58.5443,61.8729,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss3.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss3.0_st0.2/results.txt
v14,both_hybrid_ss3.0_st0.3,v14/both_hybrid_ss3.0_st0.3,52.8500,57.9114,60.7973,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss3.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss3.0_st0.3/results.txt
v14,both_hybrid_ss3.0_st0.4,v14/both_hybrid_ss3.0_st0.4,53.4800,60.1266,62.5000,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss3.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss3.0_st0.4/results.txt
v14,both_hybrid_ss5.0_st0.2,v14/both_hybrid_ss5.0_st0.2,40.5100,62.0253,66.8942,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss5.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss5.0_st0.2/results.txt
v14,both_hybrid_ss5.0_st0.3,v14/both_hybrid_ss5.0_st0.3,40.5100,63.6076,67.9054,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss5.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss5.0_st0.3/results.txt
v14,both_hybrid_ss5.0_st0.4,v14/both_hybrid_ss5.0_st0.4,41.1400,62.0253,66.4407,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss5.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_both_hybrid_ss5.0_st0.4/results.txt
v14,image_dag_adaptive_ss1.0_st0.2,v14/image_dag_adaptive_ss1.0_st0.2,4.1100,32.2785,88.6957,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.2/results.txt
v14,image_dag_adaptive_ss1.0_st0.3,v14/image_dag_adaptive_ss1.0_st0.3,4.1100,34.1772,90.0000,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.3/results.txt
v14,image_dag_adaptive_ss1.0_st0.4,v14/image_dag_adaptive_ss1.0_st0.4,4.7500,37.3418,89.3939,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss1.0_st0.4/results.txt
v14,image_dag_adaptive_ss2.0_st0.2,v14/image_dag_adaptive_ss2.0_st0.2,4.1100,18.6709,86.7647,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss2.0_st0.2,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss2.0_st0.2/results.txt
v14,image_dag_adaptive_ss2.0_st0.3,v14/image_dag_adaptive_ss2.0_st0.3,4.1100,17.0886,84.3750,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss2.0_st0.3,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss2.0_st0.3/results.txt
v14,image_dag_adaptive_ss2.0_st0.4,v14/image_dag_adaptive_ss2.0_st0.4,3.8000,18.6709,83.0986,0.000000,0.000000,0,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss2.0_st0.4,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/v14/ringabell_image_dag_adaptive_ss2.0_st0.4/results.txt
