method,concept,step,n_imgs,wall_sec,per_img_sec
safedenoiser,violence,8,60,1777576990.96,29626283.183
safedenoiser,violence,40,60,1777577524.42,29626292.074
safedenoiser,shocking,12,60,1777577716.13,29626295.269
safedenoiser,shocking,50,60,1777578379.33,29626306.322
safedenoiser,self-harm,16,60,1777578612.61,29626310.210
safedenoiser,sexual,1,60,1777578671.08,29626311.185
safedenoiser,sexual,20,60,1777578955.55,29626315.926
sgf,violence,3,60,1777579032.45,29626317.207
sgf,violence,25,60,1777579385.35,29626323.089
sgf,shocking,5,60,1777579487.85,29626324.797
sgf,shocking,30,60,1777579902.82,29626331.714
sgf,self-harm,8,60,1777580046.28,29626334.105
sgf,self-harm,40,60,1777580593.06,29626343.218
sgf,sexual,12,60,1777580828.37,29626347.139
sgf,sexual,50,60,1777581551.06,29626359.184
