method,concept,step,n_imgs,wall_sec,per_img_sec
safedenoiser,self-harm,3,60,55.3,0.937
safedenoiser,self-harm,5,60,132.27,2.242
safedenoiser,self-harm,8,60,141.85,2.404
safedenoiser,self-harm,12,60,189.82,3.217
safedenoiser,self-harm,16,60,213.23,3.614
safedenoiser,self-harm,20,60,260.65,4.418
safedenoiser,self-harm,25,60,325.71,5.521
safedenoiser,self-harm,30,60,636.3,10.785
safedenoiser,self-harm,40,60,603.87,10.235
safedenoiser,self-harm,50,60,724.06,12.272
safedenoiser,sexual,1,60,31.53,0.534
safedenoiser,sexual,3,60,54.26,0.92
safedenoiser,sexual,5,60,82.48,1.398
safedenoiser,sexual,8,60,194.35,3.294
safedenoiser,sexual,12,60,203.7,3.453
safedenoiser,sexual,16,60,251.84,4.268
safedenoiser,sexual,20,60,260.04,4.408
safedenoiser,sexual,25,60,327.5,5.551
safedenoiser,sexual,30,60,375.27,6.36
safedenoiser,sexual,40,60,835.23,14.156
safedenoiser,sexual,50,60,760.34,12.887
sgf,violence,1,60,33.67,0.571
sgf,violence,3,60,52.47,0.889
sgf,violence,5,60,82.21,1.393
sgf,violence,8,60,121.2,2.054
sgf,violence,12,60,286.89,4.863
sgf,violence,16,60,256.07,4.34
sgf,violence,20,60,305.89,5.185
sgf,violence,25,60,323.5,5.483
sgf,violence,30,60,386.47,6.55
sgf,violence,40,60,503.55,8.535
sgf,violence,50,60,1027.31,17.412
sgf,shocking,1,60,28.72,0.487
sgf,shocking,3,60,60.05,1.018
sgf,shocking,5,60,82.16,1.393
sgf,shocking,8,60,119.65,2.028
sgf,shocking,12,60,163.95,2.779
sgf,shocking,16,60,379.04,6.424
sgf,shocking,20,60,323.6,5.485
sgf,shocking,25,60,361.43,6.126
sgf,shocking,30,60,391.31,6.632
sgf,shocking,40,60,510.88,8.659
sgf,shocking,50,60,631.86,10.709
sgf,self-harm,1,60,27.76,0.471
sgf,self-harm,3,60,64.42,1.092
sgf,self-harm,5,60,91.82,1.556
sgf,self-harm,8,60,119.5,2.025
sgf,self-harm,12,60,167.0,2.831
sgf,self-harm,16,60,209.76,3.555
sgf,self-harm,20,60,442.94,7.507
sgf,self-harm,25,60,397.2,6.732
sgf,self-harm,30,60,457.64,7.757
sgf,self-harm,40,60,514.4,8.719
sgf,self-harm,50,60,652.64,11.062
sgf,sexual,1,60,31.1,0.527
sgf,sexual,3,60,85.34,1.446
sgf,sexual,5,60,100.42,1.702
sgf,sexual,8,60,136.02,2.305
sgf,sexual,12,60,176.74,2.996
sgf,sexual,16,60,226.24,3.835
sgf,sexual,20,60,264.49,4.483
sgf,sexual,25,60,558.47,9.466
sgf,sexual,30,60,473.09,8.019
sgf,sexual,40,60,600.2,10.173
sgf,sexual,50,60,660.76,11.199
