method,concept,step,n_imgs,wall_sec,per_img_sec
safedenoiser,violence,3,60,1777576943.81,29626282.397
safedenoiser,violence,25,60,1777577342.77,29626289.046
safedenoiser,shocking,5,60,1777577455.47,29626290.924
safedenoiser,shocking,30,60,1777577928.85,29626298.814
safedenoiser,self-harm,8,60,1777578092.70,29626301.545
safedenoiser,self-harm,40,60,1777578727.88,29626312.131
safedenoiser,sexual,12,60,1777578960.28,29626316.005
safedenoiser,sexual,50,60,1777579749.33,29626329.155
sgf,violence,16,60,1777580034.53,29626333.909
sgf,shocking,1,60,1777580086.06,29626334.768
sgf,shocking,20,60,1777580436.54,29626340.609
sgf,self-harm,3,60,1777580523.03,29626342.050
sgf,self-harm,25,60,1777580948.21,29626349.137
sgf,sexual,5,60,1777581111.53,29626351.859
sgf,sexual,30,60,1777581650.58,29626360.843
