method,concept,step,n_imgs,wall_sec,per_img_sec
safedenoiser,violence,16,60,1777577093.38,29626284.890
safedenoiser,shocking,1,60,1777577135.63,29626285.594
safedenoiser,shocking,20,60,1777577412.76,29626290.213
safedenoiser,self-harm,3,60,1777577487.66,29626291.461
safedenoiser,self-harm,25,60,1777577837.30,29626297.288
safedenoiser,sexual,5,60,1777577938.99,29626298.983
safedenoiser,sexual,30,60,1777578339.12,29626305.652
sgf,violence,8,60,1777578480.14,29626308.002
sgf,violence,40,60,1777579016.18,29626316.936
sgf,shocking,12,60,1777579201.10,29626320.018
sgf,shocking,50,60,1777579863.52,29626331.059
sgf,self-harm,16,60,1777580096.07,29626334.934
sgf,sexual,1,60,1777580187.41,29626336.457
sgf,sexual,20,60,1777580513.22,29626341.887
