method,concept,step,n_imgs,wall_sec,per_img_sec
safedenoiser,violence,5,60,1777576972.01,29626282.867
safedenoiser,violence,30,60,1777577428.01,29626290.467
safedenoiser,shocking,8,60,1777577576.21,29626292.937
safedenoiser,shocking,40,60,1777578189.46,29626303.158
safedenoiser,self-harm,12,60,1777578402.46,29626306.708
safedenoiser,self-harm,50,60,1777579153.82,29626319.230
safedenoiser,sexual,16,60,1777579428.90,29626323.815
sgf,violence,1,60,1777579481.34,29626324.689
sgf,violence,20,60,1777579816.17,29626330.270
sgf,shocking,3,60,1777579898.01,29626331.633
sgf,shocking,25,60,1777580283.75,29626338.062
sgf,self-harm,5,60,1777580396.45,29626339.941
sgf,self-harm,30,60,1777580879.59,29626347.993
sgf,sexual,8,60,1777581074.84,29626351.247
sgf,sexual,40,60,1777581739.78,29626362.330
