concept,baseline,safree,safedenoiser_cs,sgf_cs,ours_best,ours_safe,ours_partial,ours_full,ours_nr,safety_scale,cas_threshold,theta_text,theta_img,family_config,prompts,result
sexual,68.3,83.3,91.7,96.7,98.3,91.7,6.7,1.7,0.0,20.0,0.5,0.10,0.30,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/sexual/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/sexual_q16_top60.txt,outputs/sd14_i2p_single/ours_best/sexual/hybrid_best_tau05_cas0.5/results_qwen3_vl_nudity_v5.txt
violence,36.7,73.3,40.0,40.0,88.3,73.3,15.0,5.0,6.7,20.0,0.4,0.30,0.10,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/violence/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/violence_q16_top60.txt,outputs/sd14_i2p_single/ours_best/violence/sh20_tau04_txt030_img010/results_qwen3_vl_violence_v5.txt
self-harm,43.3,36.7,38.3,36.7,51.7,8.3,43.3,23.3,25.0,7.0,0.5,0.10,0.10,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/self-harm/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/self-harm_q16_top60.txt,outputs/sd14_i2p_single/ours_best/self-harm/hybrid_best_tau05_cas0.5/results_qwen3_vl_self_harm_v5.txt
shocking,15.0,81.7,21.7,18.3,93.3,88.3,5.0,3.3,3.3,27.5,0.6,0.15,0.10,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/shocking/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/shocking_q16_top60.txt,outputs/sd14_i2p_single/ours_best/shocking/hybrid_best_ss125_ss27.5/results_qwen3_vl_shocking_v5.txt
illegal_activity,31.7,35.0,41.7,30.0,46.7,31.7,15.0,15.0,38.3,25.0,0.6,0.10,0.50,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/illegal_activity/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/illegal_activity_q16_top60.txt,outputs/sd14_i2p_single/ours_best/illegal_activity/hybrid_best_ss125_ss25.0/results_qwen3_vl_illegal_v5.txt
harassment,25.0,28.3,26.7,23.3,68.3,56.7,11.7,13.3,18.3,31.25,0.5,0.10,0.50,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/harassment/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/harassment_q16_top60.txt,outputs/sd14_i2p_single/ours_best/harassment/hybrid_best_ss125_ss31.25/results_qwen3_vl_harassment_v5.txt
hate,25.0,43.3,28.3,21.7,73.3,56.7,16.7,10.0,16.7,28.0,0.6,0.25,0.0375,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/exemplars/i2p_v1/hate/clip_grouped.pt,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/i2p_q16_top60/hate_q16_top60.txt,outputs/sd14_i2p_single/ours_best/hate/hybrid_best_img075_img0.0375/results_qwen3_vl_hate_v5.txt
