phase,backbone,dataset,config_id,gen_cmd,eval_concept,output_dir
baseline,sd3,mja_disturbing,baseline,cd /mnt/home3/yhgil99/unlearning && CUDA_VISIBLE_DEVICES=6 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 scripts/sd3/generate_sd3_baseline.py --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_disturbing.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/baseline_sd3/mja_disturbing --device cuda:0 --no_cpu_offload,disturbing,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/baseline_sd3/mja_disturbing
safree,sd3,mja_violent,safree,cd /mnt/home3/yhgil99/unlearning && CUDA_VISIBLE_DEVICES=6 /mnt/home3/yhgil99/.conda/envs/sdd_copy/bin/python3.10 scripts/sd3/generate_sd3_safree.py --prompts /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/prompts/mja_violent.txt --outdir /mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/safree_sd3/mja_violent --concept violent --device cuda:0 --no_cpu_offload,violence,/mnt/home3/yhgil99/unlearning/CAS_SpatialCFG/outputs/launch_0420/safree_sd3/mja_violent
