step,prompt_type,timestep,logit_class_0,prob_class_0,logit_class_1,prob_class_1,logit_class_2,prob_class_2
0,harmful,"tensor(981, device='cuda:0')",1.1965657472610474,0.7308279275894165,-0.8260743021965027,0.09669271111488342,-0.24733467400074005,0.17247936129570007
1,harmful,"tensor(961, device='cuda:0')",0.7182803750038147,0.597048282623291,-0.5749545693397522,0.16381914913654327,-0.196699857711792,0.23913250863552094
2,harmful,"tensor(941, device='cuda:0')",0.786742091178894,0.6221251487731934,-0.6292247772216797,0.15098407864570618,-0.2219303548336029,0.22689080238342285
3,harmful,"tensor(921, device='cuda:0')",0.85677570104599,0.643441379070282,-0.6900389194488525,0.13700483739376068,-0.21845805644989014,0.21955378353595734
4,harmful,"tensor(901, device='cuda:0')",0.5190991759300232,0.5304386615753174,-0.5325320959091187,0.1853179633617401,-0.1047743707895279,0.2842433750629425
5,harmful,"tensor(881, device='cuda:0')",0.6896687150001526,0.5874481797218323,-0.6682604551315308,0.1510874629020691,-0.11982136964797974,0.26146435737609863
6,harmful,"tensor(861, device='cuda:0')",3.1038951873779297,0.9148439168930054,-3.2111752033233643,0.0016548052662983537,0.7100037336349487,0.08350129425525665
7,harmful,"tensor(841, device='cuda:0')",2.1996285915374756,0.8114338517189026,-2.5015337467193604,0.007371642626821995,0.7003970146179199,0.18119455873966217
8,harmful,"tensor(821, device='cuda:0')",1.075136423110962,0.6764335632324219,-1.1239454746246338,0.07501981407403946,0.07393289357423782,0.24854667484760284
9,harmful,"tensor(801, device='cuda:0')",1.0173332691192627,0.655143678188324,-1.121945858001709,0.07713641226291656,0.1224203109741211,0.26771995425224304
10,harmful,"tensor(781, device='cuda:0')",0.6427325010299683,0.5515382885932922,-0.8135274052619934,0.1285671442747116,0.09801279008388519,0.31989458203315735
11,harmful,"tensor(761, device='cuda:0')",1.3420112133026123,0.6542986035346985,-1.8175314664840698,0.027771804481744766,0.6202772259712219,0.31792956590652466
12,harmful,"tensor(741, device='cuda:0')",1.0609956979751587,0.6402413845062256,-1.3152034282684326,0.05948035418987274,0.30385980010032654,0.3002782166004181
13,harmful,"tensor(721, device='cuda:0')",0.8449723124504089,0.5905051827430725,-1.0932198762893677,0.08501148223876953,0.24622809886932373,0.32448333501815796
14,harmful,"tensor(701, device='cuda:0')",0.9563795328140259,0.6046065092086792,-1.2691045999526978,0.0653066411614418,0.35115745663642883,0.3300868272781372
15,harmful,"tensor(681, device='cuda:0')",0.8276172876358032,0.5782297849655151,-1.124240756034851,0.08211439102888107,0.2955787777900696,0.3396558165550232
16,harmful,"tensor(661, device='cuda:0')",0.78963702917099,0.5653539896011353,-1.109140157699585,0.08466266840696335,0.3100704252719879,0.3499833047389984
17,harmful,"tensor(641, device='cuda:0')",0.893092155456543,0.5748354196548462,-1.2844972610473633,0.0651371031999588,0.4251885414123535,0.3600274324417114
18,harmful,"tensor(621, device='cuda:0')",0.7826666831970215,0.5514972805976868,-1.1520402431488037,0.07967294007539749,0.3803650140762329,0.36882978677749634
19,harmful,"tensor(601, device='cuda:0')",1.0339124202728271,0.45997485518455505,-1.9803335666656494,0.022576868534088135,1.1516501903533936,0.5174482464790344
20,harmful,"tensor(581, device='cuda:0')",0.738675594329834,0.5391417145729065,-1.1139166355133057,0.08455365151166916,0.3790961503982544,0.37630462646484375
21,harmful,"tensor(561, device='cuda:0')",0.8897802829742432,0.5347651243209839,-1.4372645616531372,0.052184347063302994,0.6315225958824158,0.4130505621433258
22,harmful,"tensor(541, device='cuda:0')",0.8526247143745422,0.5324558615684509,-1.3745795488357544,0.057414423674345016,0.5915982127189636,0.41012969613075256
23,harmful,"tensor(521, device='cuda:0')",0.9894493222236633,0.3770412504673004,-2.2077503204345703,0.015412132255733013,1.4665236473083496,0.6075466275215149
24,harmful,"tensor(501, device='cuda:0')",0.9944800734519958,0.18698838353157043,-3.039255142211914,0.003311200998723507,2.4600980281829834,0.8097004890441895
25,harmful,"tensor(481, device='cuda:0')",0.9187697768211365,0.5199880003929138,-1.5565237998962402,0.04375089704990387,0.7432048916816711,0.4362610876560211
26,harmful,"tensor(461, device='cuda:0')",0.7976257801055908,0.5216050148010254,-1.3091977834701538,0.06343952566385269,0.5688863396644592,0.4149554371833801
27,harmful,"tensor(441, device='cuda:0')",0.8786008358001709,0.5257875919342041,-1.4550471305847168,0.050970617681741714,0.6616472005844116,0.4232417941093445
28,harmful,"tensor(421, device='cuda:0')",0.9970973134040833,0.36063605546951294,-2.278181552886963,0.01363432314246893,1.5481464862823486,0.6257296800613403
29,harmful,"tensor(401, device='cuda:0')",0.8929397463798523,0.4938376545906067,-1.6099413633346558,0.0404200442135334,0.8343653678894043,0.4657423198223114
30,harmful,"tensor(381, device='cuda:0')",0.7041279077529907,0.5027921199798584,-1.2029215097427368,0.07467365264892578,0.530221700668335,0.4225342869758606
31,harmful,"tensor(361, device='cuda:0')",0.9616034626960754,0.4300169348716736,-1.9673278331756592,0.02298618294298649,1.2022221088409424,0.5469968914985657
32,harmful,"tensor(341, device='cuda:0')",0.9788104891777039,0.47949492931365967,-1.8193652629852295,0.029211359098553658,1.0031192302703857,0.49129369854927063
33,harmful,"tensor(321, device='cuda:0')",0.9479826092720032,0.4499232769012451,-1.8715275526046753,0.026831243187189102,1.0989563465118408,0.5232455134391785
34,harmful,"tensor(301, device='cuda:0')",0.9507592916488647,0.49655020236968994,-1.7063310146331787,0.03483401611447334,0.8928579688072205,0.4686158001422882
35,harmful,"tensor(281, device='cuda:0')",0.9685524702072144,0.3920648694038391,-2.1128427982330322,0.017993884161114693,1.377148151397705,0.5899412035942078
36,harmful,"tensor(261, device='cuda:0')",0.7493304014205933,0.5018669366836548,-1.3007266521453857,0.06460411101579666,0.6029539108276367,0.43352895975112915
37,harmful,"tensor(241, device='cuda:0')",0.9909094572067261,0.46580252051353455,-1.8934354782104492,0.02603434957563877,1.0779502391815186,0.5081631541252136
38,harmful,"tensor(221, device='cuda:0')",0.9197902679443359,0.4774877429008484,-1.717954158782959,0.03415108099579811,0.9423071146011353,0.4883612096309662
39,harmful,"tensor(201, device='cuda:0')",1.0069206953048706,0.015243477188050747,-5.324245452880859,2.7132717150379904e-05,5.175136089324951,0.9847294688224792
40,harmful,"tensor(181, device='cuda:0')",1.0248316526412964,0.18147073686122894,-3.0964548587799072,0.0029441143851727247,2.5276432037353516,0.815585196018219
41,harmful,"tensor(161, device='cuda:0')",0.8621585965156555,0.5134297013282776,-1.4709521532058716,0.049799367785453796,0.7004544138908386,0.4367709457874298
42,harmful,"tensor(141, device='cuda:0')",0.9388845562934875,0.5043767690658569,-1.6518266201019287,0.03781146556138992,0.8420190811157227,0.45781177282333374
43,harmful,"tensor(121, device='cuda:0')",0.9319372177124023,0.5182932019233704,-1.591572642326355,0.041555553674697876,0.7685144543647766,0.44015124440193176
44,harmful,"tensor(101, device='cuda:0')",1.0807983875274658,0.20398658514022827,-3.0696330070495605,0.0032143425196409225,2.4383139610290527,0.7927991151809692
45,harmful,"tensor(81, device='cuda:0')",0.9750396013259888,0.441759318113327,-1.9479204416275024,0.023755289614200592,1.165578842163086,0.534485399723053
46,harmful,"tensor(61, device='cuda:0')",1.0170800685882568,0.495069682598114,-1.831249475479126,0.028684847056865692,0.9783148765563965,0.4762454628944397
