prompt_idx,sample_idx,step,timestep,logit_0,logit_1,logit_2,prob_0,prob_1,prob_2,pred_class
0,0,0,981.0,1.4379398822784424,0.16643494367599487,-1.5485808849334717,0.7513870000839233,0.21069592237472534,0.03791702166199684,0
0,0,1,961.0,1.4211372137069702,0.17200078070163727,-1.5213754177093506,0.7465553283691406,0.2140764743089676,0.0393681526184082,0
0,0,2,961.0,1.0384763479232788,2.8762805461883545,-3.904188394546509,0.13717679679393768,0.8618443608283997,0.0009788330644369125,1
0,0,3,941.0,0.5432572364807129,5.6939191818237305,-6.139358997344971,0.00576213002204895,0.9942306280136108,7.217046459118137e-06,1
0,0,4,921.0,0.3858233690261841,6.398010730743408,-6.635099411010742,0.002442738739773631,0.9975550770759583,2.1813696093886392e-06,1
0,0,5,901.0,0.6082170009613037,6.394292831420898,-6.818819046020508,0.0030606049112975597,0.99693763256073,1.8209015024694963e-06,1
1,0,0,981.0,2.3799967765808105,-1.0539522171020508,-1.0421977043151855,0.9390552639961243,0.030293263494968414,0.030651448294520378,0
1,0,1,961.0,2.2275335788726807,-1.027853012084961,-0.945950984954834,0.9255630970001221,0.03569518029689789,0.03874174878001213,0
1,0,2,961.0,1.8984683752059937,1.1770057678222656,-2.9220798015594482,0.6692978143692017,0.32530608773231506,0.00539612490683794,0
1,0,3,941.0,1.0753393173217773,4.684450149536133,-5.665232181549072,0.026361308991909027,0.9736074805259705,3.1158331694314256e-05,1
1,0,4,921.0,0.4654761254787445,6.4936370849609375,-6.8553996086120605,0.002404124243184924,0.9975942969322205,1.5905260397630627e-06,1
1,0,5,901.0,0.47365429997444153,6.7977294921875,-7.1263251304626465,0.0017894139746204019,0.9982097148895264,8.955327643889177e-07,1
2,0,0,981.0,1.3472588062286377,-0.9448918104171753,-0.20978672802448273,0.7623074054718018,0.07703033834695816,0.16066224873065948,0
2,0,1,961.0,1.4884967803955078,-1.128839135169983,-0.1377655416727066,0.7876121997833252,0.057493388652801514,0.1548943966627121,0
2,0,2,961.0,0.8851191997528076,0.6616711020469666,-1.5172865390777588,0.5290287733078003,0.4230941832065582,0.04787708446383476,0
2,0,3,941.0,0.5757808089256287,4.656221866607666,-5.194421291351318,0.016618287190794945,0.9833298325538635,5.183454049983993e-05,1
2,0,4,921.0,0.7275565266609192,6.146284580230713,-6.747901439666748,0.004413207992911339,0.9955843091011047,2.5015212941070786e-06,1
2,0,5,901.0,0.6728873252868652,6.48256778717041,-7.052852153778076,0.0029894206672906876,0.9970093369483948,1.3192927781346953e-06,1
3,0,0,981.0,1.14806067943573,-0.41995370388031006,-0.5805427432060242,0.7215054631233215,0.15040409564971924,0.12809044122695923,0
3,0,1,961.0,1.0629774332046509,-0.2906428277492523,-0.6268308162689209,0.6930687427520752,0.17902202904224396,0.12790922820568085,0
3,0,2,961.0,0.11894272267818451,2.079521417617798,-2.224822521209717,0.1219601184129715,0.866335928440094,0.011703976429998875,1
3,0,3,941.0,0.1950932741165161,3.825779438018799,-4.033892631530762,0.025804271921515465,0.9738198518753052,0.0003758948587346822,1
3,0,4,921.0,-0.30370834469795227,5.002227306365967,-4.741998195648193,0.004937263671308756,0.9950043559074402,5.833935210830532e-05,1
3,0,5,901.0,-0.5823283791542053,5.834204196929932,-5.304381847381592,0.0016316231340169907,0.9983538389205933,1.451636944693746e-05,1
4,0,0,981.0,1.8715862035751343,-0.9491184949874878,-0.7291304469108582,0.8820018768310547,0.052535515278577805,0.06546250730752945,0
4,0,1,961.0,1.7415812015533447,-0.8856856822967529,-0.6629946827888489,0.8601561784744263,0.0621684230864048,0.07767536491155624,0
4,0,2,961.0,1.6462609767913818,0.600523054599762,-2.0908350944519043,0.727137565612793,0.2555396854877472,0.017322732135653496,0
4,0,3,941.0,1.3045889139175415,4.02816915512085,-5.210433006286621,0.06159057468175888,0.9383181929588318,9.121713083004579e-05,1
4,0,4,921.0,0.9933876395225525,5.449252128601074,-6.290407180786133,0.011476936750113964,0.9885151982307434,7.87978024163749e-06,1
4,0,5,901.0,0.936160147190094,5.842942714691162,-6.643930912017822,0.007341915741562843,0.9926543235778809,3.7481565868802136e-06,1
5,0,0,981.0,2.5198378562927246,-1.4242913722991943,-0.8145312666893005,0.9478627443313599,0.018358277156949043,0.03377903997898102,0
5,0,1,961.0,2.6394896507263184,-1.5166971683502197,-0.8090395331382751,0.9546907544136047,0.014957313425838947,0.030351873487234116,0
5,0,2,961.0,1.927413821220398,0.4747201204299927,-2.218489646911621,0.8001482486724854,0.1871861219406128,0.012665647082030773,0
5,0,3,941.0,1.5295705795288086,2.9330127239227295,-4.36539888381958,0.19716337323188782,0.8022937774658203,0.0005428422009572387,1
5,0,4,921.0,0.675017774105072,4.298205375671387,-4.933089256286621,0.026000741869211197,0.9739038944244385,9.537088044453412e-05,1
5,0,5,901.0,0.4012758433818817,5.055131435394287,-5.467189788818359,0.009434687905013561,0.9905385971069336,2.6673817046685144e-05,1
6,0,0,981.0,1.1129581928253174,-0.36575135588645935,-0.6527290344238281,0.7147958874702454,0.1629246026277542,0.12227955460548401,0
6,0,1,961.0,0.9599306583404541,-0.40709632635116577,-0.43721914291381836,0.6657060980796814,0.169664204120636,0.16462966799736023,0
6,0,2,961.0,0.17307327687740326,2.085566759109497,-2.283475160598755,0.12729643285274506,0.8617903590202332,0.010913169011473656,1
6,0,3,941.0,0.011391282081604004,5.4781951904296875,-5.4891157150268555,0.004206867888569832,0.9957759976387024,1.7183792806463316e-05,1
6,0,4,921.0,-0.11468929052352905,6.542322635650635,-6.376134872436523,0.0012833279324695468,0.9987142086029053,2.4492132979503367e-06,1
6,0,5,901.0,-0.44899114966392517,7.0075201988220215,-6.533005237579346,0.0005773335578851402,0.9994213581085205,1.3157492730897502e-06,1
7,0,0,981.0,0.4927056133747101,0.6975894570350647,-1.0661330223083496,0.4102121889591217,0.503487229347229,0.08630054444074631,1
7,0,1,961.0,0.5705534815788269,0.4742007255554199,-0.8905097842216492,0.4672606587409973,0.42433977127075195,0.10839955508708954,0
7,0,2,961.0,-0.2015148103237152,4.033352851867676,-3.9033234119415283,0.014269973151385784,0.9853777885437012,0.00035216662217862904,1
7,0,3,941.0,0.4462168216705322,6.148555755615234,-6.564168453216553,0.003327031619846821,0.9966699481010437,3.0025150863366434e-06,1
7,0,4,921.0,0.688136100769043,6.669445037841797,-7.302984237670898,0.0025191539898514748,0.9974799752235413,8.526194505975582e-07,1
7,0,5,901.0,0.8346190452575684,6.654964447021484,-7.435248851776123,0.0029578034300357103,0.9970414042472839,7.575496283607208e-07,1
8,0,0,981.0,1.721913456916809,-0.19544735550880432,-1.3163182735443115,0.8368803858757019,0.12301672995090485,0.04010292887687683,0
8,0,1,961.0,1.453616976737976,0.028946084901690483,-1.2957324981689453,0.7665436863899231,0.18442092835903168,0.04903538152575493,0
8,0,2,961.0,1.3654879331588745,1.3821817636489868,-2.511563539505005,0.49078652262687683,0.4990483820438385,0.010165072046220303,1
8,0,3,941.0,1.3375111818313599,3.84537935256958,-4.910484790802002,0.07529745250940323,0.9245568513870239,0.0001456499012419954,1
8,0,4,921.0,0.909046471118927,5.8416643142700195,-6.5580058097839355,0.007156004197895527,0.9928399324417114,4.090450602234341e-06,1
8,0,5,901.0,0.5610926747322083,6.637640953063965,-7.0638298988342285,0.002290826290845871,0.9977080821990967,1.1182273738086224e-06,1
9,0,0,981.0,1.7044931650161743,-1.1141371726989746,-0.41803866624832153,0.8478774428367615,0.05060780793428421,0.10151476413011551,0
9,0,1,961.0,1.6406567096710205,-1.0796562433242798,-0.37282148003578186,0.8337658047676086,0.054906923323869705,0.11132727563381195,0
9,0,2,961.0,1.4452805519104004,-0.24751044809818268,-1.0423583984375,0.7891967296600342,0.14521633088588715,0.06558694690465927,0
9,0,3,941.0,2.17545485496521,1.7887288331985474,-3.673529624938965,0.5944737792015076,0.4038124680519104,0.0017137635732069612,0
9,0,4,921.0,1.7860143184661865,4.04884147644043,-5.456360816955566,0.0942423939704895,0.9056901335716248,6.744080019416288e-05,1
9,0,5,901.0,0.9910503029823303,5.461334228515625,-6.296565055847168,0.011314493604004383,0.9886777997016907,7.738629392406438e-06,1
10,0,0,981.0,0.31696900725364685,0.19865325093269348,-0.4818871319293976,0.42766866087913513,0.3799474537372589,0.19238387048244476,0
10,0,1,961.0,0.14963224530220032,0.34743374586105347,-0.4907422363758087,0.3641905188560486,0.4438464343547821,0.19196301698684692,1
10,0,2,961.0,-1.1493024826049805,3.81583571434021,-2.902776002883911,0.006920340470969677,0.9918813109397888,0.0011984052835032344,1
10,0,3,941.0,-0.8893797397613525,6.047155857086182,-5.282959938049316,0.0009706749115139246,0.9990173578262329,1.1994055967079476e-05,1
10,0,4,921.0,-0.4725460410118103,6.57710599899292,-6.155144691467285,0.0008669559611007571,0.9991300702095032,2.9517259463318624e-06,1
10,0,5,901.0,-0.5825837850570679,7.066877365112305,-6.537741661071777,0.000476073328172788,0.9995226860046387,1.234189085153048e-06,1
11,0,0,981.0,0.08305057138204575,0.16769349575042725,-0.30282121896743774,0.3612474203109741,0.3931557834148407,0.24559681117534637,1
11,0,1,961.0,0.005596965551376343,0.3557298183441162,-0.41746777296066284,0.3252781331539154,0.461652934551239,0.21306896209716797,1
11,0,2,961.0,-0.7949317097663879,3.778134346008301,-3.0998191833496094,0.010210295207798481,0.9887710213661194,0.0010186816798523068,1
11,0,3,941.0,-0.2814708650112152,6.547346115112305,-6.242651462554932,0.0010809648083522916,0.9989162683486938,2.7855048756464384e-06,1
11,0,4,921.0,0.02951955981552601,6.905114650726318,-6.867600917816162,0.0010316164698451757,0.9989672899246216,1.0426460903545376e-06,1
11,0,5,901.0,-0.07410843670368195,6.934501647949219,-6.798117160797119,0.0009032465750351548,0.9990956783294678,1.085442249859625e-06,1
12,0,0,981.0,1.933635950088501,-1.2223063707351685,-0.4713822901248932,0.8827199935913086,0.03760231286287308,0.07967769354581833,0
12,0,1,961.0,1.7942062616348267,-1.110666036605835,-0.46128687262535095,0.8623830080032349,0.04722045361995697,0.09039656817913055,0
